code_commune,nom_commune,date,auteur,note_moyenne,environnement,transports,securite,sante,sports_loisirs,culture,enseignement,commerces,qualite_vie,points_positifs,points_negatifs
63193,Lempdes,18-01-2023 à 00:59,Akaliop,6.94,7,3,6,7,7,4,6,7,8,"Une ville dynamique,  en pleine expansion,  des prix de l'immobilier corrects,  proche de la capitale auvergnate (Clermont-Ferrand). 
 
Un cadre de vie exceptionnel avec une vue sur la chaîne des puys,  une ville plutôt calme et agréable à vivre 
 
Les commerces / établissements scolaires y sont suffisants pour la population actuelle.","Très peu de points négatifs,  les transports pas pratiques et insuffisants si on souhaite se déplacer le week-end."
63193,Lempdes,30-01-2019 à 12:02,PifGadjet,8.38,6,7,8,9,9,5,9,9,9,"Mis à part l'environnement, la vie à Lempdes est simple : proximité de Clermont accès simple, diversité des commerces, des médecins, des activités sportives. Qualité de l'enseignement, écoles primaire, collège et Lycée agricole (Possibilité d'y faire ses études au lycée).",Pas grand chose à reprocher si ce n'est les transports en commun trop peu nombreux et inexistants le dimanche.
63193,Lempdes,30-12-2018 à 09:27,Guy8618,5.19,0,5,3,4,7,5,6,5,6,Beaucoup d'associations et par conséquent de bénévoles qui donnent à cette ville de la dynamique.,"la nouvelle déchetterie est complètement ratée . les déchets légers sont posés par terre et par conséquent emportés par le vent, les déchets lourds, Ferraille, sont dans des bennes en hauteur. Tout les chemins sont envahis de détritus . 
 
le plan de circulation est incompréhensible. Les grands magasins comme Atlas, Fly s'en vont pour laisser la place à des magasins minables du type Lidl."
63195,Lezoux,03-06-2021 à 23:01,Lezovien24,7.94,9,9,2,8,9,9,8,9,8,"- Culturel 
- Animations régulières (médiathèque) 
- Petits commerces agréables 
- Supermarchés au top 
- Un Maire humain,  compréhensif et impliqué.","- Peu de petites boutiques. 
- Sécurité routière catastrophique : sens interdits pris sans encombre,  des ""fous du volants"" de partout,  clignotants en option ?,  manque de passages piétons,  vitesse trop élevée à certains endroits,  très dangereux,  etc,  etc,  etc... un radar ou des contrôles réguliers aux heures d'écoles par exemple, au début des 50 km/h ne ferait aucun mal (vers Gendarmerie et médiathèque) en venant de Chignat. 
- Manque d'endroits où se garer. 
- Routes pas toujours pratiques."
63195,Lezoux,05-03-2018 à 11:23,coba1209,4.88,5,4,4,8,7,5,8,5,4,Proximité avec l'autoroute.,Hostilité de l'équipe municipale qui ne tolère aucun avis qui ne va pas dans son sens ! Manque de considération pour les administrés.  Population très conservatrice et manque de gentillesse envers les nouveaux arrivants. insécurité chronique. Gendarmerie dépassée et d'aucun secours en cas de problème.
63195,Lezoux,07-11-2017 à 16:39,hornette63,6.56,5,9,5,6,10,8,5,9,6,"l'autoroute au pied de la porte.. Clermont à 20 min. idéal pour le  boulot. 
marché sympa, commerces également, bons commerçants. cool pour les balades à vélo.. 
 
on peut aller faire les courses en sabot...lol","les gens du voyage ne respectent rien, vive les boom boom ....rallye dans la zone industrielle. je plains les voisins... 
 
 Adresse email invalide !!"
63195,Lezoux,16-06-2017 à 16:49,Pépé63,9.00,9,10,10,5,7,7,8,8,10,Petite ville entourée de forêts et de campagne. Proche de Thiers et Clermont-fd. Gare dynamique et sortie d'autoroute sur l'A89 plaisante.,Pas trop de grandes surfaces mais tant mieux pour le centre ville.
63195,Lezoux,27-11-2016 à 23:49,Mikatt,6.81,6,7,6,7,7,5,7,8,7,ville à taille humaine proposant de nombreux commerces de proximités et la campagne à 2 pas. L'autoroute est un véritable plus afin de se rendre rapidement sur l'agglomération clermontoise. Le calme de certains quartiers. Le musée de la céramique. L'arrivée prochaine de la médiathèque!,Assez peu dynamique surtout sur le plan de la petite enfance (1 seul parc de jeu est proposé alors qu'il serait possible d'en installer à des endroits bien plus sympathiques). Les voiries sont plutôt désastreuses en particulier dans le centre.
63195,Lezoux,26-05-2014 à 17:24,poterie,7.13,8,3,6,7,8,6,5,7,8,"Bcp mais principalement une ville à taille humaine, lese avantages de la campagne (balade, tranquilité...) dans une ville. 
Autoroute.","Pendant les heures de pointes il faut 1H pour aller à clermont ferrand par la National. 
Des quartiers pas forcement trés bien fréquenté"
63195,Lezoux,10-01-2014 à 22:10,gentildu63,4.88,5,5,4,6,5,4,4,5,5,la ville est desservie par une autoroute et une voie ferroviaire,"le manque de dynamisme de la municipalité, un déficit de structure et d'encadrement concernant la jeunesse, un urbanisme pas à la hauteur"
